Cümle,Tür,,Cümle ,Tür
"Bu taze ekmek kokusu, beni çocukluğumdaki fırınlara götürüyor. ",Öznel,,Türkiye'nin üç tarafı denizlerle çevrilidir. ,Nesnel
"Bence bu küçük hediye, düşünülmüş ve değerli bir jestin ifadesi. ",Öznel,,Arıların altı bacağı vardır. ,Nesnel
"Bu loş ışık, odaya sıcak ve davetkar bir hava katıyor. ",Öznel,,Türkiye Asya ve Avrupa kıtaları üzerinde yer alır. ,Nesnel
"Bana göre bu klasik müzik parçası, ruhumu okşayan bir melodiye sahip. ",Öznel,,Güneş Sistemi’nde sekiz gezegen bulunur. ,Nesnel
"Bu ilginç hikaye, beni bambaşka dünyalara sürüklüyor. ",Öznel,,"Kedi familyasına ait hayvanlara ""felidae"" adı verilir. ",Nesnel
"Bence bu samimi gülüş, günümü güzelleştirmeye yetiyor. ",Öznel,,İnsanların iki böbreği vardır. ,Nesnel
"Bu rahatlatıcı müzik, stresli bir günün ardından iyi geliyor. ",Öznel,,Karbondioksit kimyasal olarak CO₂ ile gösterilir. ,Nesnel
"Bana göre bu sade elbise, zarafeti ve şıklığı temsil ediyor. ",Öznel,,"Müzik notaları A, B, C, D, E, F ve G harfleriyle adlandırılır. ",Nesnel
"Bu etkileyici manzara, içimde hayranlık uyandırıyor. ",Öznel,,"Çita, en hızlı kara hayvanıdır. ",Nesnel
"Bence bu sıcak çikolata, soğuk kış günlerinin vazgeçilmezi. ",Öznel,,Gökdelenler genellikle çelik ve camdan yapılır. ,Nesnel
"Bu anlamlı sözler, kalbime dokunan derin bir etki bırakıyor. ",Öznel,,Türkiye 81 ilden oluşur. ,Nesnel
"Bana göre bu eski film, nostaljik ve keyifli bir seyirlik sunuyor. ",Öznel,,Suyun donma noktası 0 derecedir. ,Nesnel
"Bu keyifli sohbet, zamanın nasıl geçtiğini anlamadığım anlardan biri. ",Öznel,,"Venüs, Dünya’dan sonra en sıcak gezegendir. ",Nesnel
"Bence bu pratik çözüm, sorunun üstesinden gelmek için en iyi yol. ",Öznel,,Ankara 13 Ekim 1923'te başkent ilan edilmiştir. ,Nesnel
"Bu renkli tablo, odaya neşe ve canlılık katıyor. ",Öznel,,Fotosentez klorofil pigmenti sayesinde gerçekleşir. ,Nesnel
"Bana göre bu lezzetli kurabiye, kahvemin yanında harika gidiyor. ",Öznel,,Metal iyi bir iletkendir. ,Nesnel
"Bu düşünceli davranış, bir insanın ne kadar nazik olabileceğini gösteriyor. ",Öznel,,Plastik genellikle yalıtkandır. ,Nesnel
"Bence bu rahat ayakkabılar, uzun bir yürüyüş için ideal. ",Öznel,,Türkiye 1923 yılında kurulmuştur. ,Nesnel
"Bu ilham verici konuşma, geleceğe dair umutlarımı artırıyor. ",Öznel,,Termometre sıcaklığı derece cinsinden ölçer. ,Nesnel
"Bana göre bu sessiz an, kendi iç sesimi dinlemek için mükemmel bir fırsat. ",Öznel,,Dünya'nın en büyük okyanusu Pasifik Okyanusu’dur. ,Nesnel
"Bu doğal güzellik, insanın ruhunu dinlendiriyor. ",Öznel,,Dünya atmosferi beş katmandan oluşur. ,Nesnel
"Bence bu samimi davet, beni çok mutlu etti. ",Öznel,,Soğuk hava sıcak havaya göre daha yoğundur. ,Nesnel
"Bu yumuşak yastık, mışıl mışıl uyumamı sağlıyor. ",Öznel,,Çam ağaçları yaprak dökmez. ,Nesnel
"Bana göre bu hareketli şarkı, içimdeki enerjiyi ortaya çıkarıyor. ",Öznel,,Limon sitrik asit içerir. ,Nesnel
"Bu bilgilendirici kitap, ufkumu genişletiyor. ",Öznel,,Dünya’da dört mevsim vardır. ,Nesnel
"Bence bu sıcak karşılama, kendimi evimde gibi hissetmemi sağladı. ",Öznel,,"Kalemtraş, kalem ucunu açmak için kullanılır. ",Nesnel
"Bu yaratıcı fikir, probleme farklı bir açıdan bakmamı sağladı. ",Öznel,,Orman yangınları yaz aylarında daha sık görülür. ,Nesnel
"Bana göre bu keyifli etkinlik, haftanın yorgunluğunu atmak için harika. ",Öznel,,Ağaçların yaprakları sonbaharda sararır. ,Nesnel
"Bu etkileyici performans, beni derinden etkiledi. ",Öznel,,Timsahların dişleri ömür boyu yenilenir. ,Nesnel
"Bence bu özenli çalışma, takdiri hak ediyor. ",Öznel,,"Buz, sudan daha düşük yoğunluğa sahiptir. ",Nesnel
"Bu dinlendirici ortam, zihnimi boşaltmama yardımcı oluyor. ",Öznel,,Cam genellikle silikadan üretilir. ,Nesnel
"Bana göre bu anlamlı bakış, kelimelerden daha çok şey ifade ediyor. ",Öznel,,"Akdeniz, Türkiye'nin güneyinde yer alır. ",Nesnel
"Bu lezzetli tatlı, günümü tatlandırmaya yetti. ",Öznel,,"Karadeniz, tuzluluk oranı en düşük denizlerden biridir. ",Nesnel
"Bence bu sıcakkanlı insanlar, şehre ayrı bir güzellik katıyor. ",Öznel,,Tuzlu su elektrik akımını iletebilir. ,Nesnel
"Bu rahatlatıcı ses, içimi huzurla dolduruyor. ",Öznel,,Göz bebeği ışığa göre büyür veya küçülür. ,Nesnel
"Bana göre bu basit ama şık tasarım, gözüme çok hoş görünüyor. ",Öznel,,İnsan beyni yaklaşık 1.4 kg ağırlığındadır. ,Nesnel
"Bu düşündürücü soru, zihnimi meşgul ediyor. ",Öznel,,"Türkiye, 36°-42° kuzey enlemleri arasında yer alır. ",Nesnel
"Bence bu samimi özür, kırgınlığı gidermek için önemli bir adım. ",Öznel,,Karasal yayın antenle alınır. ,Nesnel
"Bu etkileyici yetenek, hayranlık uyandırıyor. ",Öznel,,"Elektrik, elektronların hareketiyle oluşur. ",Nesnel
"Bence bu keyifli anılar, kalbimde özel bir yere sahip. ",Öznel,,En küçük asal sayı 2’dir. ,Nesnel
"Bu ilham verici sözler, bana yol gösteriyor. ",Öznel,,Kromozomlar DNA’dan oluşur. ,Nesnel
"Bence bu sıcak dostluk, hayatımın en değerli şeylerinden biri. ",Öznel,,"Ağaçlar karbondioksiti emer, oksijen üretir. ",Nesnel
"Bu dinlendirici manzara, tüm stresimi alıp götürüyor. ",Öznel,,"Dünya 23,5 derece eğik bir eksende döner. ",Nesnel
"Bana göre bu anlamlı hayat, yaşanmaya değer. ",Öznel,,Trenler raylar üzerinde hareket eder. ,Nesnel
Bu film çok sürükleyiciydi. ,Öznel,,Basınç birimi paskaldır. ,Nesnel
Bence bu renk ona yakışmamış. ,Öznel,,Radyolar elektromanyetik dalgaları alır. ,Nesnel
Hava bugün biraz kasvetli. ,Öznel,,İnsan vücudu yaklaşık %60 sudan oluşur. ,Nesnel
Bu yemek tam ağzıma layık. ,Öznel,,Bitkiler güneş ışığı olmadan fotosentez yapamaz. ,Nesnel
O çok sevimli bir çocuk. ,Öznel,,Çiçekli bitkiler tohumla çoğalır. ,Nesnel
Bu manzara nefes kesici. ,Öznel,,Kan kırmızı renktedir çünkü hemoglobin içerir. ,Nesnel
Kitabın sonu hayal kırıklığıydı. ,Öznel,,Jüpiter en büyük gezegendir. ,Nesnel
Bu müzik içimi kıpır kıpır ediyor. ,Öznel,,Yağmurdan sonra hava nemli olur. ,Nesnel
Kahve biraz fazla şekerli olmuş. ,Öznel,,İnsan kulağı 20-20000 Hz arasını duyabilir. ,Nesnel
Bu elbise çok rahat görünüyor. ,Öznel,,"Elektrik devresi, bir enerji kaynağı ve iletkenlerle kurulur. ",Nesnel
Bence bu fikir çok mantıklı. ,Öznel,,Pamuk lifli bir tarım ürünüdür. ,Nesnel
Bu koku beni rahatlatıyor. ,Öznel,,Türkiye’nin telefon kodu +90’dır. ,Nesnel
Bu ses çok sinir bozucu. ,Öznel,,Helyum soy gazlar grubundadır. ,Nesnel
Bu davranış hiç hoş değil. ,Öznel,,"Mavi balina, dünyadaki en büyük hayvandır. ",Nesnel
Bu olay çok komikti. ,Öznel,,Su buharı yoğunlaşınca sıvı hale geçer. ,Nesnel
Bu açıklama yeterli değil. ,Öznel,,Kış aylarında gün ışığı süresi azalır. ,Nesnel
Bu durum çok can sıkıcı. ,Öznel,,Kalp dört odacıklıdır. ,Nesnel
Bu çözüm çok pratik. ,Öznel,,"Volkanlar, yer kabuğundaki çatlaklardan lav püskürtür. ",Nesnel
Bu hediye çok düşünceli. ,Öznel,,Göz kapakları gözleri nemli tutar. ,Nesnel
Bence bu çok güzel bir gün. ,Öznel,,Dünya yüzeyinin %70’i suyla kaplıdır. ,Nesnel
"Hayat, her sabah yeni bir umutla başlar. ",Öznel,,C vitamini suda çözünen bir vitamindir. ,Nesnel
"Gökyüzünün mavisi, içimi tarifsiz bir huzurla dolduruyor. ",Öznel,,Kömür fosil yakıtlar arasındadır. ,Nesnel
Bir kitabın sayfalarını çevirirken kendimi başka bir dünyada buluyorum. ,Öznel,,"Otobüs, karayolu taşıma aracıdır. ",Nesnel
"Sevdiklerimle geçirdiğim anlar, hayatımın en kıymetli hazineleri. ",Öznel,,"Kar, altıgen kristal yapısına sahiptir. ",Nesnel
"Yağmurun sesi, ruhuma dinginlik fısıldıyor. ",Öznel,,Oksijen O₂ molekülü şeklinde bulunur. ,Nesnel
"Bir çocuğun gülüşü, dünyadaki tüm kötülükleri unutturur. ",Öznel,,Bitkilerin çoğu topraktan mineral alır. ,Nesnel
"Sabah kahvesinin kokusu, güne başlamak için en güzel motivasyon. ",Öznel,,Tohumdan bitki oluşması çimlenme süreciyle başlar. ,Nesnel
"Hayallerim, beni her zaman daha iyi bir insan olmaya itiyor. ",Öznel,,"Gözyaşı, gözü temizlemeye yardımcı olur. ",Nesnel
"Deniz kenarında yürümek, tüm dertlerimi alıp götürüyor. ",Öznel,,"Mikrodalga fırın, yiyecekleri elektromanyetik dalgalarla ısıtır. ",Nesnel
"Bir şarkı, bazen yıllarca unutulmayan anıları canlandırır. ",Öznel,,"Yoğurt, sütün fermente edilmesiyle yapılır. ",Nesnel
"Paylaşmak, kalbin en güzel eylemidir. ",Öznel,,Cep telefonları radyo dalgalarıyla iletişim kurar. ,Nesnel
"Gün batımı, doğanın bize sunduğu en büyüleyici tablo. ",Öznel,,Türkiye'nin en uzun nehri Kızılırmak’tır. ,Nesnel
"Bir dostun samimi sarılması, her şeyi yoluna koyar. ",Öznel,,Ses kaynağından çıkarak dalgalarla yayılır. ,Nesnel
"Özgürlük, ruhumun en çok ihtiyaç duyduğu besin. ",Öznel,,Deniz seviyesinde atmosfer basıncı yaklaşık 1013 milibardır. ,Nesnel
"Eski bir fotoğraf, geçmişin tatlı hüznünü hatırlatır. ",Öznel,,Sürtünme hareketi yavaşlatır. ,Nesnel
"Çiçeklerin renkleri, doğanın ne kadar cömert olduğunu gösteriyor. ",Öznel,,"Magma, yer kabuğunun altındaki eriyik maddedir. ",Nesnel
"Sessiz bir ormanda yürümek, kendimi yeniden keşfetmemi sağlıyor. ",Öznel,,Ay Dünya’dan ortalama 384.400 km uzaklıktadır. ,Nesnel
"Birine yardım etmek, kalbime tarifsiz bir hafiflik katıyor. ",Öznel,,Salyangozlar kabuk taşır. ,Nesnel
"Yıldızlı bir gecede gökyüzüne bakmak, evrendeki yerimi düşündürüyor. ",Öznel,,Lamba elektrik enerjisini ışığa çevirir. ,Nesnel
"Aşk, kalbin en beklenmedik misafiridir. ",Öznel,,Tekerlek yuvarlak şekildedir. ,Nesnel
"Bir şiir, bazen söyleyemediklerimi en güzel şekilde ifade eder. ",Öznel,,Dünya’nın iç yapısı dört ana katmandan oluşur. ,Nesnel
"Çocukluğumun kokuları, beni her zaman masumiyete götürür. ",Öznel,,Suyun kimyasal formülü H₂O’dur. ,Nesnel
"Bir hedefe ulaşmanın sevinci, hiçbir şeyle kıyaslanamaz. ",Öznel,,Dinozorlar milyonlarca yıl önce yaşamıştır. ,Nesnel
"Doğruluk, içimi rahatlatan en güçlü erdem. ",Öznel,,Kuşların tüyleri vardır. ,Nesnel
"Bir yabancının gülümseyişi, dünyayı daha güzel bir yer yapar. ",Öznel,,Yarasalar memeli canlılardır. ,Nesnel
"Kışın soba başında anlatılan hikayeler, ruhumu ısıtır. ",Öznel,,Matematikte dairenin çevresi 2πr ile hesaplanır. ,Nesnel
"Yeni bir şeyler öğrenmek, zihnime ferahlık veriyor. ",Öznel,,Bir ay yaklaşık dört haftadır. ,Nesnel
"Bir kuşun kanat çırpışı, özgürlüğün en saf hali. ",Öznel,,"Göl, kara içinde yer alan su kütlesidir. ",Nesnel
"Hayatın küçük anları, en büyük mutlulukları saklar. ",Öznel,,"Yıldırım, elektrik boşalması sonucu oluşur. ",Nesnel
"Bir ağacın gölgesinde dinlenmek, doğayla bütünleşmektir. ",Öznel,,Kurbağalar hem suda hem karada yaşayabilir. ,Nesnel
"Sevmek, kalbin en cesur eylemidir. ",Öznel,,Karpuz bol su içerir. ,Nesnel
"Bir mektubun el yazısı, duyguların en samimi halidir. ",Öznel,,Sudoku bir mantık bulmacasıdır. ,Nesnel
"Baharda açan çiçekler, umudun simgesidir. ",Öznel,,Her yıl Şubat ayı 28 ya da 29 gün çeker. ,Nesnel
"Birinin gözlerindeki ışıltı, sevginin en güzel yansımasıdır. ",Öznel,,Vücudun en uzun kemiği uyluk kemiğidir. ,Nesnel
"Hayal kurmak, ruhun özgürce dans etmesidir. ",Öznel,,Ses kaynağı titreştiğinde ses oluşur. ,Nesnel
"Bir yolda yürürken rüzgarın yüzüme dokunması, beni canlı hissettiriyor. ",Öznel,,"Kum saati, zaman ölçümünde kullanılan eski bir araçtır. ",Nesnel
"Anılar, kalbimin en değerli mücevherleridir. ",Öznel,,Çekirdek atomun merkezinde bulunur. ,Nesnel
"Bir fincan çay, dost sohbetlerinin en güzel yoldaşıdır. ",Öznel,,Dünya Güneş etrafında eliptik bir yörüngede döner. ,Nesnel
"Göçmen kuşların uçuşu, bana uzak diyarları hayal ettirir. ",Öznel,,İnsanda toplam 32 diş bulunur. ,Nesnel
"Bir tablonun renkleri, sanatçının ruhunu fısıldar. ",Öznel,,Mikroskop çok küçük nesneleri büyüterek gösterir. ,Nesnel
"Kalbim, sevdiklerimle geçirdiğim her anla büyüyor. ",Öznel,,Balıklar soğukkanlı canlılardır. ,Nesnel
"Bir şarkının melodisi, ruhumun derinliklerine dokunur. ",Öznel,,Bitkiler kökleriyle su emer. ,Nesnel
"Sabır, hayatın en zor ama en kıymetli dersi. ",Öznel,,Venüs saat yönünde dönen tek gezegendir. ,Nesnel
"Bir dağın zirvesine tırmanmak, kendime olan inancımı güçlendiriyor. ",Öznel,,Türkiye'nin en uzun tüneli Zigana Tüneli'dir. ,Nesnel
"Hayat, her zaman ikinci bir şansı hak eder. ",Öznel,,"Göz, ışığı retina üzerinde odaklar. ",Nesnel
"Bir gülün kokusu, doğanın zarif bir hediyesidir. ",Öznel,,Tohum çimlenme koşulu sağlanınca büyümeye başlar. ,Nesnel
"Kalbimin sesini dinlemek, en doğru yolu bulmamı sağlıyor. ",Öznel,,Türkiye Cumhuriyeti'nin ilk Cumhurbaşkanı Mustafa Kemal Atatürk’tür. ,Nesnel
"Bir bahçede çalışmak, toprağın şifasını hissettiriyor. ",Öznel,,Güneş'te hidrojen helyuma dönüşür. ,Nesnel
"Sevdiklerimin mutluluğu, benim en büyük zaferimdir. ",Öznel,,Ay yüzeyinde su buharı bulunmaz. ,Nesnel
"Her yeni gün, kendimi yeniden inşa etme fırsatı sunuyor. ",Öznel,,Suyun yoğunluğu 1 g/cm³’tür. ,Nesnel
Bence sabah kahvesi mucizevidir. ,Öznel,,Buharlaşma sıcaklıkta artışla hızlanır. ,Nesnel
Gökyüzü mavisi ruhumu sakinleştirir. ,Öznel,,Kuru buz karbon dioksittir. ,Nesnel
Bana dostun gülüşü yeter. ,Öznel,,Gün ışığı ultraviyole ışınlar içerir. ,Nesnel
Yağmur sesi içimi huzurla doldurur. ,Öznel,,"Elektrik, devrede kapalı bir yol izler. ",Nesnel
Deniz kokusu özgürlüğü çağrıştırır. ,Öznel,,Akarsular vadiler oluşturur. ,Nesnel
Bence kitaplar ruhun ilacıdır. ,Öznel,,İnsan omurgasında 33 omur bulunur. ,Nesnel
Gün batımı beni hep büyüler. ,Öznel,,Bilgisayarların temel bileşenlerinden biri işlemcidir. ,Nesnel
Çiçek kokusu umudu canlandırır. ,Öznel,,Kristaller düzenli atom yapısına sahiptir. ,Nesnel
Bana yıldızlar sihir gibi gelir. ,Öznel,,"Yağ, sudan daha az yoğundur. ",Nesnel
Çocuk kahkahası neşeyi çoğaltır. ,Öznel,,Ses havada yaklaşık 343 m/s hızla yayılır. ,Nesnel
Rüzgar yüzüme tatlı bir dokunuş. ,Öznel,,Metaller genellikle parlaktır. ,Nesnel
Bence hayaller hayatı renklendirir. ,Öznel,,Göz siniri görüntüyü beyne iletir. ,Nesnel
Sıcak çay dostluğu hatırlatır. ,Öznel,,Dünya'nın manyetik alanı kuzey ve güney kutbu etrafında oluşur. ,Nesnel
Kuş sesleri sabahı şenlendirir. ,Öznel,,Hal değişimleri fiziksel değişimdir. ,Nesnel
Bana anılar hep kıymetlidir. ,Öznel,,Bir litre süt yaklaşık 1.03 kilogram gelir. ,Nesnel
Bir gülümseme günü güzelleştirir. ,Öznel,,Katılar belirli şekle sahiptir. ,Nesnel
Orman kokusu ruhumu yeniler. ,Öznel,,Göz kapakları gözleri korur ve nemlendirir. ,Nesnel
Bence sevmek kalbi ısıtır. ,Öznel,,Kurşun yumuşak bir metaldir. ,Nesnel
Göçmen kuşlar özgürlüğü simgeler. ,Öznel,,Bulutlar yoğunlaşmış su damlacıklarından oluşur. ,Nesnel
Sessizlik bana huzur verir. ,Öznel,,Karanlık ortamda göz bebeği büyür. ,Nesnel
Bir şarkı anıları diriltir. ,Öznel,,Gemi taşıma aracı olarak denizde kullanılır. ,Nesnel
Bence bahar umudun resmidir. ,Öznel,,Donma sırasında madde ısı kaybeder. ,Nesnel
Sarılmak her derdi unutturur. ,Öznel,,Mıknatıs demir içeren maddeleri çeker. ,Nesnel
Bulutlar hayal gücümü coşturur. ,Öznel,,Gazlar sıkıştırılabilir özelliktedir. ,Nesnel
Bana hedefler mutluluk getirir. ,Öznel,,Zeytin Akdeniz ikliminde yetişir. ,Nesnel
Mum ışığı geceyi yumuşatır. ,Öznel,,Fırtına genellikle düşük basınç alanlarında oluşur. ,Nesnel
Eski fotoğraflar hüzünlü tebessümdür. ,Öznel,,İnsan vücudunda beş duyu organı vardır. ,Nesnel
Bence doğa en güzel terapi. ,Öznel,,Barajlar elektrik üretimi ve sulama için kullanılır. ,Nesnel
Bir mektup kalbi okşar. ,Öznel,,Kalem mürekkep veya grafit içerir. ,Nesnel
Dağlar bana cesaret fısıldar. ,Öznel,,Tabletler taşınabilir bilgi işlem cihazlarıdır. ,Nesnel
Kedinin mırlaması evi ısıtır. ,Öznel,,Sıvılar akışkandır. ,Nesnel
Bence sabah ışığı umut taşır. ,Öznel,,"Göl, akarsularla beslenebilir. ",Nesnel
Çiçekler doğanın gülümseyişidir. ,Öznel,,"Yağış, meteorolojik bir olaydır. ",Nesnel
Bir şiir ruhumu kucaklar. ,Öznel,,Yalıtkanlar elektrik geçirmez. ,Nesnel
Bana yürüyüş zihni açar. ,Öznel,,Türkiye’de trafik sağdan akar. ,Nesnel
Gökyüzü her zaman ilham kaynağıdır. ,Öznel,,Işık cam prizmaya çarptığında kırılır. ,Nesnel
Sevdiklerimle anlar paha biçilmezdir. ,Öznel,,"Termos, ısı yalıtımı sağlar. ",Nesnel
Bence tablo ruhun aynasıdır. ,Öznel,,Gözlük camları genellikle plastik veya camdan yapılır. ,Nesnel
Hayat küçük anlarda gizlidir. ,Öznel,,Yanardağların lavı yer yüzeyine çıkar. ,Nesnel
Rüzgar özgürlüğün tatlı nefesidir. ,Öznel,,DNA çift sarmal bir moleküldür. ,Nesnel
Bana dostluk her şeyi güzelleştirir. ,Öznel,,Ekmek buğday unundan yapılır. ,Nesnel
Bahçe toprağı ellerime şifa. ,Öznel,,"Ay ışığı, Güneş ışığının yansımasıdır. ",Nesnel
Sevgi kalbi her zaman büyütür. ,Öznel,,Göz kasları göz küresini hareket ettirir. ,Nesnel
Bence gün doğumu yeni bir şans. ,Öznel,,Barometre hava basıncını ölçer. ,Nesnel
Bir not duyguları canlandırır. ,Öznel,,Güneş enerjisi panellerle toplanabilir. ,Nesnel
Kış sobası evi kucaklar. ,Öznel,,Geyikler memeli hayvanlardır. ,Nesnel
Bana hayal kurmak özgürlüktür. ,Öznel,,Geri dönüşüm atıkların tekrar kullanılmasını sağlar. ,Nesnel
Kuşlar özgürlüğün kanatlı halidir. ,Öznel,,"Sülfür, periyodik tabloda S harfiyle gösterilir. ",Nesnel
Bence sevgi her kalbi iyileştirir. ,Öznel,,"Ay, Dünya'nın etrafındaki hareketini yaklaşık 27 gün 8 saatte tamamlar. ",Nesnel
Her an yeni bir başlangıçtır. ,Öznel,,Saat yönü sağa doğrudur. ,Nesnel
Bu ayakkabının rengi güzel değil. ,Öznel,,Sıcaklık arttıkça çoğu metal genleşir. ,Nesnel
Bu sana hiç yakışmamış. ,Öznel,,Türkiye'nin resmi dili Türkçedir. ,Nesnel
En sevdiğim renk mordur. ,Öznel,,Geyikler otçul hayvanlardır. ,Nesnel
En çok tekir kedileri severim. ,Öznel,,Ağaçlar yaş halkaları sayesinde yaş tahmini yapılabilir. ,Nesnel
Bence o bugün meşguldü. ,Öznel,,Yüzme suyun kaldırma kuvvetinden faydalanır. ,Nesnel
   Bence en güzel renk  gri rengidir. ,Öznel,,Karadeniz’in suyu tuzluluk açısından düşüktür. ,Nesnel
-  Spor arabalar en güzel arabalardır. ,Öznel,,"Gölge, ışığın cisme çarpıp geçememesiyle oluşur. ",Nesnel
- Bence dostluk  en önemli kavramlardan bir tanesidir. Bundan dolayı sürekli dost edinmeliyiz. ,Öznel,,Yeryüzünde farklı iklim tipleri görülür. ,Nesnel
- Türkiye'nin en güzel şehri Bolu'dur. ,Öznel,,Güneş’te gerçekleşen tepkime nükleer füzyondur. ,Nesnel
- Türkiye'de en iyi romanları yazan kişi Hüseyin Nihal Atsız'dır. ,Öznel,,Gözlük görmeyi düzeltmeye yarayan bir araçtır. ,Nesnel
" Picasso’nun tabloları, bilinçaltı dünyamızı çok güzel yansıtır. ",Öznel,,"Soğan, çok katmanlı yapıya sahiptir. ",Nesnel
"Sanatçı, bence  şiirlerinde söz oyunlarını ustaca kullanmış. ",Öznel,,Hayvan hücrelerinde hücre duvarı bulunmaz. ,Nesnel
Bu kıyı lokantasında dünyanın en harika yemekleri yapılır. ,Öznel,,Vücut ısısı ortalama 36.5-37°C civarındadır. ,Nesnel
Nedim ve Fuzuli Divan Edebiyatı’nın en lirik şairleridir. ,Öznel,,Kaynama noktası her sıvı için farklıdır. ,Nesnel
"  Reşat Nuri, Türkiye’nin en ünlü yazarıdır. ",Öznel,,Kayaçlar farklı minerallerden oluşur. ,Nesnel
" Bu eserinde, gereksiz birçok ayrıntıya yer vermiş. ",Öznel,,Atmosferde en çok bulunan gaz azottur. ,Nesnel
" Elma, insanların en sevdiği meyvedir. ",Öznel,,Kutup bölgeleri yılın bir bölümünde tamamen karanlık olur. ,Nesnel
 İstanbul Boğazı’nın seyrine kimse doyamaz. ,Öznel,,Elektrik prizleri alternatif akım verir. ,Nesnel
Evde mutlu olan başarılı olur. ,Öznel,,İnsanların yirmi parmağı vardır. ,Nesnel
Mavi elbise insanlara yakışıyor. ,Öznel,,Cam ışığı geçirgen bir malzemedir. ,Nesnel
Duygusal şarkılar herkesi etkiler. ,Öznel,,Rüzgar türbinleri rüzgar enerjisini elektrik enerjisine çevirir. ,Nesnel
Kadınlara mavi renk çok yakışıyor ,Öznel,,Dünya'nın çekirdeği demir ve nikel içerir. ,Nesnel
Erkeklere beyaz ayakkabı çok yakışıyor ,Öznel,,İnsan gözünde koni ve çubuk hücreleri bulunur. ,Nesnel
En güzel ayakkabı modeli spor ayakkabıdır ,Öznel,,Karasal iklim iç bölgelerde görülür. ,Nesnel
En güzel kahve lattedir ,Öznel,,Atmosferde ozon tabakası UV ışınlarını süzer. ,Nesnel
Yazın ayının en güzel meyvesi karpuzdur ,Öznel,,Dondurucu sıcaklık 0°C’nin altındadır. ,Nesnel
Sabahları akşamdan daha güzeldir ,Öznel,,Yıldızlar kendi ışığını yayar. ,Nesnel
İlkbahar sonbahardan daha renklidir ,Öznel,,Türkiye Cumhuriyeti anayasası 1982 yılında kabul edilmiştir. ,Nesnel
Erkeklere uzun sakal yakışır ,Öznel,,Pusula manyetik kuzeyi gösterir. ,Nesnel
Sevgililer günü önemsiz bir gündür ,Öznel,,Lamba elektrik enerjisini ışığa dönüştürür. ,Nesnel
Bilgisayar mühendisliği kötü bir bölümdür ,Öznel,,Donmuş gıdalar düşük sıcaklıkta saklanır. ,Nesnel
Türkiyenin ekonomisi iyidir ,Öznel,,Ay her ay bir kez yeniay evresine girer. ,Nesnel
Avrupa bizden daha geridedir ,Öznel,,Elektrik devresi açık olduğunda akım geçmez. ,Nesnel
En verimli spor güreştir ,Öznel,,Piller kimyasal enerjiyi elektrik enerjisine çevirir. ,Nesnel
En tehlikeli şehir Adanadır ,Öznel,,"Hortum, sıcak ve soğuk hava sistemlerinin çarpışmasıyla oluşabilir. ",Nesnel
En güzel şehir karamandır ,Öznel,,"Ayçiçeği, Güneş ışığına yönelir. ",Nesnel
En kötü şehir Bitlistir ,Öznel,,Küre üç boyutlu bir geometrik şekildir. ,Nesnel
Sude isimli kızlar diğer kızlara göre güzel olur ,Öznel,,Dünya kendi ekseni etrafında yaklaşık 24 saatte döner. ,Nesnel
Bilgisayar telefona göre daha işlevseldir ,Öznel,,Türkiye'nin yüzölçümü yaklaşık 783.562 km²'dir. ,Nesnel
Spor salonları çok pahalı ,Öznel,,Atomun çekirdeğinde proton ve nötron bulunur. ,Nesnel
Bu film şimdiye kadar izlediğim en iyi film. ,Öznel,,"Sirke, genellikle %4-8 oranında asetik asit içerir. ",Nesnel
Kırmızı renk her zaman daha canlı ve çekici görünür. ,Öznel,,Bozkır iklimi kurak yazlara sahiptir. ,Nesnel
"İstanbul, dünyanın en güzel şehirlerinden biridir. ",Öznel,,Suyun kaynama noktası deniz seviyesinde 100°C'dir. ,Nesnel
"Çikolatalı dondurma, vanilyalıdan çok daha lezzetli. ",Öznel,,"Işık, boşlukta saniyede yaklaşık 300.000 kilometre hızla ilerler. ",Nesnel
Bu kitabın sonu gerçekten çok etkileyiciydi. ,Öznel,,İnsan kalbi dakikada ortalama 60-100 kez atar. ,Nesnel
Mevsimlerin ve yağmurun dilini çocuklardan sonra en iyi şairler bilir. ,Öznel,,"Türkiye, dört mevsimin yaşandığı ülkelerden biridir. ",Nesnel
"İnsanın yaşadığı hayatı değiştirme isteği onu resim, heykel, şiir gibi alanlara itmektedir. ",Öznel,,Ay yüzeyinde atmosfer yoktur. ,Nesnel
Yaşar Kemal’in “Bebek” adlı öyküsünü sevmeyen yoktur. ,Öznel,,Bir kilogram 1000 gramdır. ,Nesnel
"Bağlama, duyguların aktarılmasında en etkili çalgı türüdür. ",Öznel,,Mercanlar denizlerde yaşayan canlılardır. ,Nesnel
"Sonbahar, tüm insanlar için hüznün sembolü olmuştur. ",Öznel,,"Altın periyodik tabloda ""Au"" sembolüyle gösterilir. ",Nesnel
Pembe en güzel renk.  ,Öznel,,Lise eğitimi Türkiye'de 4 yıl sürmektedir. ,Nesnel
Sivas Türkiye’nin en güzel şehridir ,Öznel,,İnsan vücudunda 206 kemik bulunur. ,Nesnel
Şiirlerini herkes çok sever ,Öznel,,Bitkiler güneş ışığı olmadan fotosentez yapamaz. ,Nesnel
Yolculuklar çok sıkıcıdır ,Öznel,,Teleskop uzak cisimleri yaklaştırarak gözlemlemeyi sağlar. ,Nesnel
Dostluk güzeldir ,Öznel,,"Magnezyum, yanıcı bir metaldir. ",Nesnel
